ID,Database,Name,Table,Description
1848,cpw_CouplesSelfExpansion,CommunalStrength1,Background,How far would you be willing to go to visit your romantic partner?
1849,cpw_CouplesSelfExpansion,CommunalStrength2,Background,How happy do you feel when doing something that helps your romantic partner?
1850,cpw_CouplesSelfExpansion,CommunalStrength3,Background,How large a benefit would you be likely to give to your romantic partner?
1851,cpw_CouplesSelfExpansion,CommunalStrength4,Background,How large a cost would you incur to meet a need of your romantic partner?
1852,cpw_CouplesSelfExpansion,CommunalStrength5,Background,How readily can you put the needs of your romantic partner out of your thoughts?
1853,cpw_CouplesSelfExpansion,CommunalStrength6,Background,How high a priority for you is meeting the needs of your romantic partner?
1854,cpw_CouplesSelfExpansion,CommunalStrength7,Background,How reluctant would you be to sacrifice for your romantic partner?
1855,cpw_CouplesSelfExpansion,CommunalStrength8,Background,How much would you be willing to give up to benefit your romantic partner?
1856,cpw_CouplesSelfExpansion,CommunalStrength9,Background,How far would you go out of your way to do something for your romantic partner?
1857,cpw_CouplesSelfExpansion,CommunalStrength10,Background,How easily could you accept not helping your romantic partner?
1858,cpw_CouplesSelfExpansion,Appreciation1,Background,I tell my partner often that s/he is the best.
1859,cpw_CouplesSelfExpansion,Appreciation2,Background,I often tell my partner how much I appreciate her/him.
1860,cpw_CouplesSelfExpansion,Appreciation3,Background,I feel very lucky to have my partner in my life.
1861,cpw_CouplesSelfExpansion,Appreciation4,Background,At times I take my partner for granted.
1862,cpw_CouplesSelfExpansion,Appreciation5,Background,I appreciate my partner.
1863,cpw_CouplesSelfExpansion,Appreciation6,Background,Sometimes I don’t really acknowledge or treat my partner like s/he is someone special. 
1864,cpw_CouplesSelfExpansion,Appreciation7,Background,I remind myself daily how lucky I am to have my partner.
1865,cpw_CouplesSelfExpansion,Appreciation8,Background,I make sure my partner feels appreciated.
1866,cpw_CouplesSelfExpansion,Appreciation9,Background,My partner sometimes says that I fail to notice the nice things that s/he does for me. 
1867,cpw_CouplesSelfExpansion,Appreciation10,Background,"I acknowledge the things that my partner does for me, even the really small things."
1868,cpw_CouplesSelfExpansion,Appreciation11,Background,I am sometimes struck with a sense of awe and wonder when I think about my partner being in my life.
1869,cpw_CouplesSelfExpansion,Appreciation12,Background,My partner makes sure I feel appreciated.
1870,cpw_CouplesSelfExpansion,Appreciation13,Background,"When I am with my partner, sometimes s/he will look at me excitedly and tell me how much s/he apprec"
1871,cpw_CouplesSelfExpansion,Appreciation14,Background,My partner often tells me the things that s/he really likes about me.
1872,cpw_CouplesSelfExpansion,Appreciation15,Background,At times my partner takes me for granted. 
1873,cpw_CouplesSelfExpansion,Appreciation16,Background,"My partner often expresses her/his thanks when I do something nice, even if it’s really small."
1874,cpw_CouplesSelfExpansion,Appreciation17,Background,My partner doesn’t notice when I do nice things for her/him. 
1875,cpw_CouplesSelfExpansion,Appreciation18,Background,My partner makes me feel special.
1876,cpw_CouplesSelfExpansion,RelGoals1,Background,"I will be trying to avoid getting embarrassed, betrayed, or hurt by my romantic partner."
1877,cpw_CouplesSelfExpansion,RelGoals2,Background,I will be trying to enhance the bonding and intimacy in my romantic relationship.
1878,cpw_CouplesSelfExpansion,RelGoals3,Background,I will be trying to avoid disagreements and conflicts with my romantic partner.
1879,cpw_CouplesSelfExpansion,RelGoals4,Background,I will be trying to deepen my relationship with my romantic partner.
1880,cpw_CouplesSelfExpansion,RelGoals5,Background,I will be trying to make sure that nothing bad happens in my romantic relationship.
1881,cpw_CouplesSelfExpansion,RelGoals6,Background,I will be trying to share many fun and meaningful experiences with my romantic partner.
1882,cpw_CouplesSelfExpansion,RelGoals7,Background,I will be trying to stay away from situations that could harm my romantic relationship.
1883,cpw_CouplesSelfExpansion,RelGoals8,Background,I will be trying to move toward growth and development in my romantic relationship.
1884,cpw_CouplesSelfExpansion,GoalCompatibility1,Background,Sometimes I feel like my goals are incompatible with my partner’s goals.
1885,cpw_CouplesSelfExpansion,GoalCompatibility2,Background,"Overall, I feel that my partner and I have compatible goals."
1886,cpw_CouplesSelfExpansion,GoalCompatibility3,Background,Making decisions with my partner can be difficult because we have very different goals.
1887,cpw_CouplesSelfExpansion,GoalProgressSatisfaction,Background,I am satisfied with my progress with my goals.
1888,cpw_CouplesSelfExpansion,GoalCompatibility4,Background,"When I try to pursue my goals, my partner and I often get into arguments or disagreements."
1889,cpw_CouplesSelfExpansion,GoalCompatibility5,Background,My partner and I have many shared goals.
1890,cpw_CouplesSelfExpansion,GoalCompatibility6,Background,I rarely feel like my partner’s goals conflict with my own goals.
1891,cpw_CouplesSelfExpansion,RelInterdependence1,Background,My close relationships are an important reflection of who I am.
1892,cpw_CouplesSelfExpansion,RelInterdependence2,Background,"When I feel very close to someone, it often feels to me like that person is an important part of who"
1893,cpw_CouplesSelfExpansion,RelInterdependence3,Background,I usually feel a strong sense of pride when someone close to me has an important accomplishment.
1894,cpw_CouplesSelfExpansion,RelInterdependence4,Background,I think one of the most important parts of who I am can be captured by looking at my close friends a
1895,cpw_CouplesSelfExpansion,RelInterdependence5,Background,"When I think of myself, I often think of my close friends or family also."
1896,cpw_CouplesSelfExpansion,RelInterdependence6,Background,"If a person hurts someone close to me, I feel personally hurt as well."
1897,cpw_CouplesSelfExpansion,RelInterdependence7,Background,"In general, my close relationships are an important part of my self-image."
1898,cpw_CouplesSelfExpansion,RelInterdependence8,Background,"Overall, my close relationships have very little to do with how I feel about myself."
1899,cpw_CouplesSelfExpansion,RelInterdependence9,Background,My close relationships are unimportant to my sense of what kind of person I am.
1900,cpw_CouplesSelfExpansion,RelInterdependence10,Background,My sense of pride comes from knowing who I have as close friends.
1901,cpw_CouplesSelfExpansion,RelInterdependence11,Background,"When I establish a close friendship with someone, I usually develop a strong sense of identification"
1902,cpw_CouplesSelfExpansion,PassionateLove1,Background,I would feel deep despair if my partner left me.
1903,cpw_CouplesSelfExpansion,PassionateLove2,Background,Sometimes I feel I can’t control my thoughts; they are obsessively on my partner.
1904,cpw_CouplesSelfExpansion,PassionateLove3,Background,I feel happy when I am doing something to make my partner happy. 
1905,cpw_CouplesSelfExpansion,PassionateLove4,Background,I would rather be with my partner than anyone else.
1906,cpw_CouplesSelfExpansion,PassionateLove5,Background,I’d get jealous if I thought my partner were falling in love with someone else.
1907,cpw_CouplesSelfExpansion,PassionateLove6,Background,I yearn to know all about my partner. 
1908,cpw_CouplesSelfExpansion,PassionateLove7,Background,"I want my partner physically, emotionally, mentally. "
1909,cpw_CouplesSelfExpansion,PassionateLove8,Background,I have an endless appetite for affection from my partner. 
1910,cpw_CouplesSelfExpansion,PassionateLove9,Background,"For me, my partner is the perfect romantic partner. "
1911,cpw_CouplesSelfExpansion,PassionateLove10,Background,I sense my body responding when my partner touches me. 
1912,cpw_CouplesSelfExpansion,PassionateLove11,Background,My partner always seems to be on my mind. 
1913,cpw_CouplesSelfExpansion,PassionateLove12,Background,"I want my partner to know me--my thoughts, my fears, and my hopes. "
1914,cpw_CouplesSelfExpansion,PassionateLove13,Background,I eagerly look for signs indicating my partner’s desire for me.
1915,cpw_CouplesSelfExpansion,PassionateLove14,Background,I possess a powerful attraction for my partner. 
1916,cpw_CouplesSelfExpansion,PassionateLove15,Background,I get extremely depressed when things don't go right in my relationship with my partner.
1917,cpw_CouplesSelfExpansion,InitiatorSelf1,Background,"When discussing a relationship problem, I usually try to keep the discussion going until we settle t"
1918,cpw_CouplesSelfExpansion,InitiatorSelf2,Background,I usually express my feelings about our relationship to my partner.
1919,cpw_CouplesSelfExpansion,InitiatorSelf3,Background,I usually keep my feelings about our relationship private and do not share them with my partner.
1920,cpw_CouplesSelfExpansion,InitiatorSelf4,Background,"When I become aware of a problem in our relationship, I usually do not say anything about it."
1921,cpw_CouplesSelfExpansion,InitiatorSelf5,Background,I am the kind of person who generally feels comfortable discussing relationship problems.
1922,cpw_CouplesSelfExpansion,InitiatorSelf6,Background,"When my partner wants to talk about a relationship problem, I am usually ready to do so as well."
1923,cpw_CouplesSelfExpansion,InitiatorSelf7,Background,I usually become silent or refuse to discuss a relationship problem further if my partner pressures 
1924,cpw_CouplesSelfExpansion,InitiatorSelf8,Background,"When my partner wants to talk about a relationship problem, I usually try to get out of the discussi"
1925,cpw_CouplesSelfExpansion,InitiatorSelf9,Background,"When I become aware of a problem in our relationship, I usually try to start a discussion of that pr"
1926,cpw_CouplesSelfExpansion,InitiatorSelf10,Background,I am the kind of person who generally does not feel comfortable discussing relationship problems.
1927,cpw_CouplesSelfExpansion,InitiatorPartner1,Background,"When I want to talk about a relationship problem, my partner usually tries to get out of the discuss"
1928,cpw_CouplesSelfExpansion,InitiatorPartner2,Background,My partner usually expresses any feelings about our relationship to me.
1929,cpw_CouplesSelfExpansion,InitiatorPartner3,Background,My partner is the kind of person who generally feels comfortable discussing relationship problems.
1930,cpw_CouplesSelfExpansion,InitiatorPartner4,Background,"When my partner becomes aware of a problem in our relationship, my partner usually tries to start a "
1931,cpw_CouplesSelfExpansion,InitiatorPartner5,Background,"When discussing a relationship problem, my partner usually tries to keep the discussion going until "
1932,cpw_CouplesSelfExpansion,InitiatorPartner6,Background,"If my partner and I are discussing an important relationship issue, my partner usually tries to keep"
1933,cpw_CouplesSelfExpansion,InitiatorPartner7,Background,My partner usually keeps feelings about our relationship private and does not share them with me.
1934,cpw_CouplesSelfExpansion,InitiatorPartner8,Background,My partner is the kind of person who generally does not feel comfortable discussing relationship pro
1935,cpw_CouplesSelfExpansion,InitiatorPartner9,Background,"When my partner becomes aware of a problem in our relationship, my partner usually does not say anyt"
1936,cpw_CouplesSelfExpansion,InitiatorPartner10,Background,"When I want to talk about a relationship problem, my partner is usually ready to do so as well."
1937,cpw_CouplesSelfExpansion,SexualCommunalStrength1,Background,How far would you be willing to go to meet your partner's sexual needs?
1938,cpw_CouplesSelfExpansion,SexualCommunalStrength2,Background,How readily can you put the sexual needs of your partner out of your thoughts?
1939,cpw_CouplesSelfExpansion,SexualCommunalStrength3,Background,How high a priority for you is meeting the sexual needs of your partner?
1940,cpw_CouplesSelfExpansion,SexualCommunalStrength4,Background,How easily could you accept not meeting your partner's sexual needs?
1941,cpw_CouplesSelfExpansion,SexualCommunalStrength5,Background,How likely are you to sacrifice your own needs to meet the sexual needs of your partner?
1942,cpw_CouplesSelfExpansion,SexualCommunalStrength6,Background,How happy do you feel when satisfying your partner's sexual needs?
1943,cpw_CouplesSelfExpansion,SexualFrequency1,Background,"On average, how many times per month do you and your partner have sex?"
1944,cpw_CouplesSelfExpansion,SexualImportance1,Background,How important is sex to you?
1945,cpw_CouplesSelfExpansion,SexualDesire1,Background,Just thinking about having sex with my partner excites me. 
1946,cpw_CouplesSelfExpansion,SexualDesire2,Background,I try to avoid having sex with my partner. 
1947,cpw_CouplesSelfExpansion,SexualDesire3,Background,I daydream about sex. 
1948,cpw_CouplesSelfExpansion,SexualDesire4,Background,It is difficult for me to get in a sexual mood. 
1949,cpw_CouplesSelfExpansion,SexualDesire5,Background,I desire sex more than my partner does
1950,cpw_CouplesSelfExpansion,SexualDesire6,Background,It is hard for me to fantasize about sexual things.
1951,cpw_CouplesSelfExpansion,SexualDesire7,Background,I look forward to having sex with my partner. 
1952,cpw_CouplesSelfExpansion,SexualDesire8,Background,I have a huge appetite for sex. 
1953,cpw_CouplesSelfExpansion,SexualDesire9,Background,I enjoy using sexual fantasy during sex with my partner. 
1954,cpw_CouplesSelfExpansion,SexualDesire10,Background,It is easy for me to get in the mood for sex. 
1955,cpw_CouplesSelfExpansion,SexualDesire11,Background,My desire for sex should be stronger.
1956,cpw_CouplesSelfExpansion,SexualDesire12,Background,I enjoy thinking about sex. 
1957,cpw_CouplesSelfExpansion,SexualDesire13,Background,I desire sex.
1958,cpw_CouplesSelfExpansion,SexualDesire14,Background,It is easy for me to go weeks without having sex with my partner.
1959,cpw_CouplesSelfExpansion,SexualDesire15,Background,I feel I want sex less than most people.
1960,cpw_CouplesSelfExpansion,SexualDesire16,Background,It is easy for me to create sexual fantasies in my mind.
1961,cpw_CouplesSelfExpansion,SexualDesire17,Background,I have a strong sex drive.
1962,cpw_CouplesSelfExpansion,SexualDesire18,Background,I enjoy thinking about having sex with my partner.
1963,cpw_CouplesSelfExpansion,SexualDesire19,Background,My desire for sex with my partner is strong.
1964,cpw_CouplesSelfExpansion,SexualDesire20,Background,I feel that sex is not an important aspect of the relationship I share with my partner.
1965,cpw_CouplesSelfExpansion,SexualDesire21,Background,I think my energy level for sex with my partner is too low.
1966,cpw_CouplesSelfExpansion,SexualDesire22,Background,It is hard for me to get in the mood for sex.
1967,cpw_CouplesSelfExpansion,SexualDesire23,Background,I lack the desire necessary to pursue sex with my partner.
1968,cpw_CouplesSelfExpansion,SexualSatisfaction1,Background,I feel that my partner enjoys our sex life.
1969,cpw_CouplesSelfExpansion,SexualSatisfaction2,Background,Our sex life is very exciting.
1970,cpw_CouplesSelfExpansion,SexualSatisfaction3,Background,Sex is fun for my partner and me.
1971,cpw_CouplesSelfExpansion,SexualSatisfaction4,Background,Sex with my partner has become a chore for me. 
1972,cpw_CouplesSelfExpansion,SexualSatisfaction5,Background,I feel that our sex life is dirty and disgusting. 
1973,cpw_CouplesSelfExpansion,SexualSatisfaction6,Background,Our sex life is monotonous. 
1974,cpw_CouplesSelfExpansion,SexualSatisfaction7,Background,When we have sex it is too rushed and hurriedly completed. 
1975,cpw_CouplesSelfExpansion,SexualSatisfaction8,Background,I feel that my sex life is lacking in quality. 
1976,cpw_CouplesSelfExpansion,SexualSatisfaction9,Background,My partner is sexually very exciting.
1977,cpw_CouplesSelfExpansion,SexualSatisfaction10,Background,I enjoy the sex techniques that my partner likes or uses.
1978,cpw_CouplesSelfExpansion,SexualSatisfaction11,Background,I feel that my partner wants too much sex from me. 
1979,cpw_CouplesSelfExpansion,SexualSatisfaction12,Background,I think our sex is wonderful.
1980,cpw_CouplesSelfExpansion,SexualSatisfaction13,Background,My partner dwells on sex too much. 
1981,cpw_CouplesSelfExpansion,SexualSatisfaction14,Background,I try to avoid sexual contact with my partner. 
1982,cpw_CouplesSelfExpansion,SexualSatisfaction15,Background,My partner is too rough or brutal when we have sex. 
1983,cpw_CouplesSelfExpansion,SexualSatisfaction16,Background,My partner is a wonderful sex mate.
1984,cpw_CouplesSelfExpansion,SexualSatisfaction17,Background,I feel that our sex life is a normal function of our relationship.
1985,cpw_CouplesSelfExpansion,SexualSatisfaction18,Background,My partner does not want sex when I do. 
1986,cpw_CouplesSelfExpansion,SexualSatisfaction19,Background,I feel that our sex life really adds a lot to our relationship.
1987,cpw_CouplesSelfExpansion,SexualSatisfaction20,Background,My partner seems to avoid sexual contact with me. 
1988,cpw_CouplesSelfExpansion,SexualSatisfaction21,Background,It is easy for me to get sexually excited by my partner.
1989,cpw_CouplesSelfExpansion,SexualSatisfaction22,Background,I feel that my partner is sexually pleased with me
1990,cpw_CouplesSelfExpansion,SexualSatisfaction23,Background,My partner is very sensitive to my sexual needs and desires.
1991,cpw_CouplesSelfExpansion,SexualSatisfaction24,Background,My partner does not satisfy me sexually. 
1992,cpw_CouplesSelfExpansion,SexualSatisfaction25,Background,I feel that my sex life is boring.
1993,cpw_CouplesSelfExpansion,PersonalExpansion1,Background,I am always interested in finding new things to try
1994,cpw_CouplesSelfExpansion,PersonalExpansion2,Background,I usually seek out new opportunities or experiences
1995,cpw_CouplesSelfExpansion,PersonalExpansion3,Background,I generally prefer to have more familiarity and stability 
1996,cpw_CouplesSelfExpansion,PersonalExpansion4,Background,Trying new things is important for me to stay happy
1997,cpw_CouplesSelfExpansion,PersonalExpansion5,Background,I place a lot of importance on experiencing new things
1998,cpw_CouplesSelfExpansion,PersonalExpansion6,Background,I enjoy gaining a more thorough understanding of something I already know
1999,cpw_CouplesSelfExpansion,PersonalExpansion7,Background,"Once I have a basic understanding of something, I do not feel it is necessary to learn more about it"
2000,cpw_CouplesSelfExpansion,PersonalExpansion8,Background,Trying to learn more about something I already understand is usually not worth the effort 
2001,cpw_CouplesSelfExpansion,PersonalExpansion9,Background,Exploring something in depth is usually pretty tedious and boring 
2002,cpw_CouplesSelfExpansion,PersonalExpansion10,Background,There are better ways to spend my time than trying to learn more about something I basically underst
2003,cpw_CouplesSelfExpansion,CommunalOrientation1,Background,It bothers me when other people neglect my needs.
2004,cpw_CouplesSelfExpansion,CommunalOrientation2,Background,"When making a decision, I take other people's needs and feelings into account."
2005,cpw_CouplesSelfExpansion,CommunalOrientation3,Background,I'm not especially sensitive to other people's feelings.
2006,cpw_CouplesSelfExpansion,CommunalOrientation4,Background,I don't consider myself to be a particularly helpful person.
2007,cpw_CouplesSelfExpansion,CommunalOrientation5,Background,I believe people should go out of their way to be helpful.
2008,cpw_CouplesSelfExpansion,CommunalOrientation6,Background,I don't especially enjoy giving others aid.
2009,cpw_CouplesSelfExpansion,CommunalOrientation7,Background,I expect people I know to be responsive to my needs and feelings. 
2010,cpw_CouplesSelfExpansion,CommunalOrientation8,Background,I often go out of my way to help another person.
2011,cpw_CouplesSelfExpansion,CommunalOrientation9,Background,I believe it's best not to get involved taking care of other people's personal needs.
2012,cpw_CouplesSelfExpansion,CommunalOrientation10,Background,I'm not the sort of person who often comes to the aid of others.
2013,cpw_CouplesSelfExpansion,CommunalOrientation11,Background,"When I have a need, I turn to others I know for help."
2014,cpw_CouplesSelfExpansion,ATTENTION_CHECK,Background,Answer Extremely Uncharacteristic for this question.
2015,cpw_CouplesSelfExpansion,CommunalOrientation12,Background,"When people get emotionally upset, I tend to avoid them."
2016,cpw_CouplesSelfExpansion,CommunalOrientation13,Background,People should keep their troubles to themselves.
2017,cpw_CouplesSelfExpansion,CommunalOrientation14,Background,"When I have a need that others ignore, I'm hurt. "
2018,cpw_CouplesSelfExpansion,SWL1,Background,In most ways my life is close to my ideal.
2019,cpw_CouplesSelfExpansion,SWL2,Background,The conditions of my life are excellent.
2020,cpw_CouplesSelfExpansion,SWL3,Background,I am satisfied with my life. 
2021,cpw_CouplesSelfExpansion,SWL4,Background,So far I have gotten the important things I want in life. 
2022,cpw_CouplesSelfExpansion,SWL5,Background,"If I could live my life over, I would change almost nothing. "
2023,cpw_CouplesSelfExpansion,UnmitigatedCommunion1,Background,I always place the needs of others above my own.
2024,cpw_CouplesSelfExpansion,UnmitigatedCommunion2,Background,I never find myself getting overly involved in others' problems.
2025,cpw_CouplesSelfExpansion,UnmitigatedCommunion3,Background,"For me to be happy, I need others to be happy."
2026,cpw_CouplesSelfExpansion,UnmitigatedCommunion4,Background,I worry about how other people get along without me when I am not there.
2027,cpw_CouplesSelfExpansion,UnmitigatedCommunion5,Background,I have no trouble getting to sleep at night when other people are upset.
2028,cpw_CouplesSelfExpansion,UnmitigatedCommunion6,Background,It is impossible for me to satisfy my own needs when they interfere with the needs of others.
2029,cpw_CouplesSelfExpansion,UnmitigatedCommunion7,Background,I can't say no when someone asks me for help.
2030,cpw_CouplesSelfExpansion,UnmitigatedCommunion8,Background,"Even when exhausted, I will always help other people."
2031,cpw_CouplesSelfExpansion,UnmitigatedCommunion9,Background,I often worry about others' problems.
2032,cpw_CouplesSelfExpansion,BFI1,Background,"Extraverted, enthusiastic."
2033,cpw_CouplesSelfExpansion,BFI2,Background,"Critical, quarrelsome."
2034,cpw_CouplesSelfExpansion,BFI3,Background,"Dependable, self-disciplined."
2035,cpw_CouplesSelfExpansion,BFI4,Background,"Anxious, easily upset."
2036,cpw_CouplesSelfExpansion,BFI5,Background,"Open to new experiences, complex."
2037,cpw_CouplesSelfExpansion,BFI6,Background,"Reserved, quiet."
2038,cpw_CouplesSelfExpansion,BFI7,Background,"Sympathetic, warm."
2039,cpw_CouplesSelfExpansion,BFI8,Background,"Disorganized, careless."
2040,cpw_CouplesSelfExpansion,BFI9,Background,"Calm, emotionally stable."
2041,cpw_CouplesSelfExpansion,BFI10,Background,"Conventional, uncreative."
2042,cpw_CouplesSelfExpansion,Attachment1,Background,It helps to turn to my romantic partner in times of need.
2043,cpw_CouplesSelfExpansion,Attachment2,Background,I need a lot of reassurance that I am loved by my partner.
2044,cpw_CouplesSelfExpansion,Attachment3,Background,"I want to get close to my partner, but I keep pulling back."
2045,cpw_CouplesSelfExpansion,Attachment4,Background,I find that my partner doesn't want to get as close as I would like.
2046,cpw_CouplesSelfExpansion,Attachment5,Background,"I turn to my partner for many things, including comfort and reassurance."
2047,cpw_CouplesSelfExpansion,Attachment6,Background,My desire to be very close sometimes scares people away.
2048,cpw_CouplesSelfExpansion,Attachment7,Background,I try to avoid getting too close to my partner.
2049,cpw_CouplesSelfExpansion,Attachment8,Background,I often worry about being abandoned.
2050,cpw_CouplesSelfExpansion,Attachment9,Background,I usually discuss my problems and concerns with my partner.
2051,cpw_CouplesSelfExpansion,Attachment10,Background,I get frustrated if my romantic partner is not available when I need him/her.
2052,cpw_CouplesSelfExpansion,Attachment11,Background,I am nervous when my partner gets too close to me.
2053,cpw_CouplesSelfExpansion,Attachment12,Background,I worry that my romantic partner won't care about me as much as I care about him/her.
2054,cpw_CouplesSelfExpansion,Email,Background,What is your email address?
2055,cpw_CouplesSelfExpansion,Age,Background,What is your age?
2056,cpw_CouplesSelfExpansion,NativeLanguage,Background,What is your native language?
2057,cpw_CouplesSelfExpansion,PlaceBorn,Background,Where where you born?
2058,cpw_CouplesSelfExpansion,LanguagesSpokenFluently,Background,What languages can you speak fluently? 
2059,cpw_CouplesSelfExpansion,LanguageSpokenAtHome,Background,What language do you speak at home?
2060,cpw_CouplesSelfExpansion,ReligiousDenomination,Background,What is your religious denomination? 
2061,cpw_CouplesSelfExpansion,Occupation,Background,What is your current occupation?
2062,cpw_CouplesSelfExpansion,LengthOfRelationship,Background,"How long have you been in an exclusive relationship with your romantic partner (months, years)?"
2063,cpw_CouplesSelfExpansion,Gender,Background,What is your gender?
2064,cpw_CouplesSelfExpansion,Education_Self,Background,What is the highest level of education you have completed?
2065,cpw_CouplesSelfExpansion,Education_Mother,Background,What is the highest level of education completed by your mother?
2066,cpw_CouplesSelfExpansion,Education_Father,Background,What is the highest level of education completed by your father?
2067,cpw_CouplesSelfExpansion,Income,Background,What is your approximate household annual income(before taxes)?
2068,cpw_CouplesSelfExpansion,Ethnicity_All,Background,Your ethnic background: (Check all that apply)
2069,cpw_CouplesSelfExpansion,Ethnicity_Most,Background,Which ethnicity do you identify with the most? (Check only one) 
2070,cpw_CouplesSelfExpansion,EthnicIdentitiy_Strength,Background,How strongly do you identify with your ethnicity?
2071,cpw_CouplesSelfExpansion,Spiritual,Background,How spiritual are you?
2072,cpw_CouplesSelfExpansion,Religious,Background,How religious are you?
2073,cpw_CouplesSelfExpansion,Debrief,Background,QuestionID1
2074,cpw_CouplesSelfExpansion,EndDate,Background,EndDate
2075,cpw_CouplesSelfExpansion,EndTime,Background,EndTime
2076,cpw_CouplesSelfExpansion,CoupleID,Diary,Couple ID
2077,cpw_CouplesSelfExpansion,UserID,Diary,Participant ID
2078,cpw_CouplesSelfExpansion,PartnerID,Diary,Partner ID
2079,cpw_CouplesSelfExpansion,DiaryDay,Diary,Which day of the diary is this record? (1-14)
2080,cpw_CouplesSelfExpansion,RecordID,Diary,RecordID
2081,cpw_CouplesSelfExpansion,StartDate,Diary,StartDate
2082,cpw_CouplesSelfExpansion,StartTime,Diary,StartTime
2083,cpw_CouplesSelfExpansion,Baseline_Happy,Diary,"Happy, pleased, joyful"
2084,cpw_CouplesSelfExpansion,Baseline_Interested,Diary,"Interested, attentive"
2085,cpw_CouplesSelfExpansion,Baseline_Amused,Diary,"Amused, having fun"
2086,cpw_CouplesSelfExpansion,Baseline_Anxious,Diary,"Anxious, nervous"
2087,cpw_CouplesSelfExpansion,Baseline_Sad,Diary,"Sad, depressed, down"
2088,cpw_CouplesSelfExpansion,Baseline_Angry,Diary,"Angry, irritated, frustrated"
2089,cpw_CouplesSelfExpansion,SWL,Diary,I was satisfied with my life today.
